identifier,product,region,farming_type,d13C_permil,d15N_permil,wtN_percent,wtC_percent,CN_molar
I2,I,Bavaria,Organic,-29.447603321940008,3.6542610999999994,1.3730571008814887,37.32945915768855,31.705095155908783
I3,I,Bavaria,Organic,-28.831273674340004,1.9267834,1.8584769441903017,35.08450667886551,22.015277207208545
I4,I,Bavaria,Organic,-29.091584345680005,3.5491908999999993,2.0838636451301835,38.92827540983607,21.78521386510941
J1,J,Souss-Massa,Conventional,-29.774526209340003,-0.32707539999999996,1.1673336179295621,50.96511824973319,50.91479564273738
J2,J,Souss-Massa,Conventional,-30.09582608000001,-0.37239979999999995,1.3496414486921529,51.3215291750503,44.345253557040685
J3,J,Souss-Massa,Conventional,-29.717205694940006,-0.8215234,1.1026125,49.911681249999994,52.789220500589025
J4,J,Souss-Massa,Conventional,-28.687715619300004,-0.010834699999999975,2.769590322580645,50.11325806451613,21.101001460039697
B1,B,Almeria,Organic,-29.276517434880006,4.607103599999999,2.138177743902439,36.339863414634145,19.820082032387422
B1,B,Almeria,Organic,-29.263803784100006,4.7523477,2.2029986842105265,36.3300625,19.231708555794267
B1,B,Almeria,Organic,-29.282642216000006,4.6987825,2.1774393879565648,36.91601184600198,19.77127440440278
B1,B,Almeria,Organic,-29.535618793660007,4.6081337,2.1175099601593623,36.90816155378486,20.326514437443716
B1,B,Almeria,Organic,-29.225713100340005,4.7214447,2.2552926605504586,35.210078715596325,18.206650316945655
B4,B,Almeria,Organic,-28.463933210540006,4.4680401,2.465644008483563,38.330392152704135,18.12920880952556
B4,B,Almeria,Organic,-28.23591493166001,4.6153444,2.375246900826446,36.52774194214876,17.934118191412487
B4,B,Almeria,Organic,-29.252148844900006,5.2869696,4.7235607555089185,50.9409370409234,12.576603967294867
J1,J,Souss-Massa,Conventional,-29.764239988360004,1.9319339,1.1483037962037963,46.999134065934065,47.73083340885756
J1,J,Souss-Massa,Conventional,-29.774526209340003,-0.32707539999999996,1.1673336179295621,50.96511824973319,50.91479564273738
J1,J,Souss-Massa,Conventional,-29.610982759260008,-0.3991824,1.2046421215242018,50.17658722966014,48.574578012956096
J1,J,Souss-Massa,Conventional,-29.634746795340007,-0.7926806,1.2403363357215966,49.773936335721594,46.79812822983617
J1,J,Souss-Massa,Conventional,-29.543515260680003,-0.776199,1.2574736334405143,50.97767588424437,47.27669471359498
